_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
265.1930055701779	-53.7130407786610	265.19302082385	0.5593	-53.71312195587	0.4170	5921745090607747840	-0.0999	0.4199	2.097	1.286	-18.854	0.814	0	4.9623e+02	2.6463e+00	18.9491	0.0058	5.8438e+02	9.0554e+01	18.4346	0.1682	8.5711e+02	1.1104e+01	17.4293	0.0141	1.0053							
265.1929634730127	-53.7131883775966	265.19298509203	0.7158	-53.71328458006	0.7901	5921745090607747968	-0.2067	0.7554	2.972	1.286	-22.344	1.320	0	4.5156e+02	3.2414e+00	19.0516	0.0078	6.9810e+02	8.2334e+01	18.2416	0.1281	1.0529e+03	2.3645e+02	17.2060	0.2438	1.0356							
265.1742357801198	-53.7093992803877	265.17423578012	6.1547	-53.70939928039	7.2996	5921745159327347968							0	3.5210e+02	9.5563e+00	19.3217	0.0295																
265.1946216646435	-53.7063903429400	265.19457606154	0.5934	-53.70640197710	0.4611	5921745090622443392	-0.4634	0.5707	-6.269	1.706	-2.702	1.185	0	3.6158e+02	2.2332e+00	19.2929	0.0067	2.5814e+02	1.1938e+01	19.3217	0.0502	3.8153e+02	1.7162e+01	18.3081	0.0488	1.0136							
265.1853315237154	-53.7052660778533	265.18534415448	0.1726	-53.70534224481	0.2464	5921745159327319808	0.4450	0.2584	1.737	0.321	-17.690	0.365	0	2.0599e+03	4.8628e+00	17.4037	0.0026																
265.1899765565599	-53.7117817355457	265.19000620208	0.1243	-53.71185622562	0.1301	5921745090607775360	0.3149	0.1399	4.075	0.234	-17.301	0.239	0	1.6209e+03	2.8510e+00	17.6640	0.0019	1.0058e+03	4.2106e+01	17.8451	0.0455	1.2914e+03	1.4403e+01	16.9843	0.0121	0.8609							
265.1762763943603	-53.7035877839348	265.17628267808	0.8556	-53.70366604661	0.9361	5921745159343197952	1.0397	0.9495	0.864	1.898	-18.177	1.365	1	2.3214e+02	1.8235e+00	19.7740	0.0085																
265.1747998158560	-53.7117368599241	265.17483915130	0.2809	-53.71181755360	0.2590	5921745124967583616	0.0884	0.3128	5.407	0.711	-18.742	0.457	0	9.4596e+02	4.6244e+00	18.2487	0.0053																
265.1889662345917	-53.7127911916840	265.18895005462	0.6555	-53.71282882415	0.4807	5921745159327251072	1.1287	0.7395	-2.224	0.837	-8.740	0.886	0	2.8553e+02	1.7439e+00	19.5492	0.0066																
265.1878750086923	-53.7128472576981	265.18789770773	0.2716	-53.71292550826	0.2633	5921745159327254912	-1.3159	0.3101	3.120	0.499	-18.174	0.483	0	1.0348e+03	7.4190e+00	18.1512	0.0078	7.8820e+02	2.3325e+01	18.1098	0.0321	1.1481e+03	3.3866e+01	17.1119	0.0320	0.9979							
265.1687603108739	-53.7110547782069	265.16876031087	3.3650	-53.71105477821	1.2953	5921745124983464192							0	2.5348e+02	2.0350e+00	19.6785	0.0087																
265.1957245333959	-53.7083949010298	265.19574773016	0.4101	-53.70847041846	0.3595	5921745090607772288	0.6732	0.3817	3.189	0.899	-17.540	0.683	0	5.4581e+02	2.3552e+00	18.8458	0.0047	3.1849e+02	1.8993e+01	19.0937	0.0647	5.0710e+02	2.5908e+01	17.9992	0.0555	1.0945							
265.1897260746408	-53.7112355987862	265.18976797153	0.9055	-53.71130765914	0.8239	5921745090607780352	-0.0511	0.8004	5.759	2.279	-16.737	1.952	0	1.9090e+02	2.1111e+00	19.9864	0.0120																
265.1963475497136	-53.7072094492157	265.19635419821	1.1637	-53.70728040461	1.2220	5921745090607769600	2.7039	1.4944	0.914	2.764	-16.480	2.305	0	2.1183e+02	2.1855e+00	19.8734	0.0112																
265.1972251962140	-53.7077192624873	265.19723575303	0.6386	-53.70779955633	0.5323	5921745090607769984	1.7739	0.6415	1.451	1.515	-18.649	1.070	0	3.3811e+02	3.3230e+00	19.3657	0.0107																
265.1896917737292	-53.7129696411013	265.18969177373	3.5701	-53.71296964110	1.2514	5921745090607768576							0	1.6529e+02	2.0895e+00	20.1427	0.0137																
265.1933256759394	-53.7070024305917	265.19332567594	6.6045	-53.70700243059	6.2996	5921745090622447104							0	9.2246e+01	1.5730e+00	20.7760	0.0185																
265.1749797972323	-53.7150974168913	265.17500850333	0.1141	-53.71517138954	0.1183	5921745124982249216	0.4036	0.1183	3.946	0.215	-17.181	0.212	0	2.0230e+03	3.5665e+00	17.4234	0.0019																
265.1815373880956	-53.7070715009250	265.18156541962	0.3094	-53.70715278190	0.2979	5921745159327327104	0.0631	0.2972	3.854	1.026	-18.878	0.949	0	7.4390e+02	2.9910e+00	18.5096	0.0044																
